1766951177.269029 server started (78177): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1766951177.269082 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:34 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T8103
1766951177.269099 using libevent 2.1.12-stable select
1766951177.269117 using utf8proc 2.11.2
1766951177.269130 using ncurses 6.5 20240427
1766951177.301040 cmd_parse_build_commands: swap-window -t :+1
1766951177.301045 cmd_parse_build_commands 0:0: swap-window
1766951177.301050 args_parse: flags end at 1 of 1
1766951177.301055 cmd_parse_build_commands: swap-window
1766951177.301061 cmd_parse_build_commands 0:0: kill-window
1766951177.301065 args_parse: flags end at 1 of 1
1766951177.301070 cmd_parse_build_commands: kill-window
1766951177.301075 cmd_parse_build_commands 0:0: respawn-window
1766951177.301079 cmd_parse_build_commands 0:1: -k
1766951177.301085 args_parse_flags: next -k
1766951177.301088 args_parse_flags: -k
1766951177.301092 args_parse: flags end at 2 of 2
1766951177.301098 cmd_parse_build_commands: respawn-window -k
1766951177.301103 cmd_parse_build_commands 0:0: select-pane
1766951177.301107 cmd_parse_build_commands 0:1: -m
1766951177.301112 args_parse_flags: next -m
1766951177.301116 args_parse_flags: -m
1766951177.301120 args_parse: flags end at 2 of 2
1766951177.301126 cmd_parse_build_commands: select-pane -m
1766951177.301131 cmd_parse_build_commands 0:0: command-prompt
1766951177.301135 cmd_parse_build_commands 0:1: -FI
1766951177.301139 cmd_parse_build_commands 0:2: #W
1766951177.301143 cmd_parse_build_commands 0:3 0:0: rename-window
1766951177.301147 cmd_parse_build_commands 0:3 0:1: -t
1766951177.301151 cmd_parse_build_commands 0:3 0:2: #{window_id}
1766951177.301155 cmd_parse_build_commands 0:3 0:3: --
1766951177.301159 cmd_parse_build_commands 0:3 0:4: %%
1766951177.301164 cmd_parse_build_commands 0:0: rename-window
1766951177.301168 cmd_parse_build_commands 0:1: -t
1766951177.301172 cmd_parse_build_commands 0:2: #{window_id}
1766951177.301176 cmd_parse_build_commands 0:3: --
1766951177.301180 cmd_parse_build_commands 0:4: %%
1766951177.301186 args_parse_flags: next -t
1766951177.301190 args_parse_flag_argument: -t = #{window_id}
1766951177.301194 args_parse_flags: next --
1766951177.301198 args_parse: flags end at 4 of 5
1766951177.301202 args_parse: 4 = %% (type STRING)
1766951177.301211 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1766951177.301215 args_parse_flags: next -FI
1766951177.301219 args_parse_flags: -F
1766951177.301223 args_parse_flag_argument: -I = #W
1766951177.301227 args_parse: flags end at 3 of 4
1766951177.301240 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1766951177.301253 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1766951177.301258 cmd_parse_build_commands 0:0: new-window
1766951177.301262 cmd_parse_build_commands 0:1: -a
1766951177.301267 args_parse_flags: next -a
1766951177.301271 args_parse_flags: -a
1766951177.301275 args_parse: flags end at 2 of 2
1766951177.301281 cmd_parse_build_commands: new-window -a
1766951177.301286 cmd_parse_build_commands 0:0: new-window
1766951177.301290 args_parse: flags end at 1 of 1
1766951177.301296 cmd_parse_build_commands: new-window
1766951177.301300 args_parse_flags: next -t=
1766951177.301304 args_parse_flag_argument: -t = =
1766951177.301308 args_parse_flags: next -xW
1766951177.301312 args_parse_flag_argument: -x = W
1766951177.301316 args_parse_flags: next -yW
1766951177.301320 args_parse_flag_argument: -y = W
1766951177.301324 args_parse_flags: next -T
1766951177.301328 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1766951177.301333 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1766951177.301337 args_parse: flags end at 6 of 35
1766951177.301341 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1766951177.301346 args_parse: 7 = l (type STRING)
1766951177.301353 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1766951177.301357 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1766951177.301362 args_parse: 10 = r (type STRING)
1766951177.301369 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1766951177.301373 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1766951177.301378 args_parse: 13 = s (type STRING)
1766951177.301383 args_parse: 14 = swap-window (type COMMANDS)
1766951177.301387 args_parse: 15 =  (type STRING)
1766951177.301391 args_parse: 16 = Kill (type STRING)
1766951177.301396 args_parse: 17 = X (type STRING)
1766951177.301401 args_parse: 18 = kill-window (type COMMANDS)
1766951177.301405 args_parse: 19 = Respawn (type STRING)
1766951177.301409 args_parse: 20 = R (type STRING)
1766951177.301415 args_parse: 21 = respawn-window -k (type COMMANDS)
1766951177.301419 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1766951177.301424 args_parse: 23 = m (type STRING)
1766951177.301429 args_parse: 24 = select-pane -m (type COMMANDS)
1766951177.301434 args_parse: 25 = Rename (type STRING)
1766951177.301438 args_parse: 26 = n (type STRING)
1766951177.301449 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1766951177.301454 args_parse: 28 =  (type STRING)
1766951177.301458 args_parse: 29 = New After (type STRING)
1766951177.301462 args_parse: 30 = w (type STRING)
1766951177.301468 args_parse: 31 = new-window -a (type COMMANDS)
1766951177.301472 args_parse: 32 = New At End (type STRING)
1766951177.301476 args_parse: 33 = W (type STRING)
1766951177.301481 args_parse: 34 = new-window (type COMMANDS)
1766951177.301545 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1766951177.301549 args_parse_flags: next -n
1766951177.301553 args_parse_flags: -n
1766951177.301557 args_parse_flags: next MouseDown3Status
1766951177.301561 args_parse: flags end at 2 of 4
1766951177.301565 args_parse: 2 = MouseDown3Status (type STRING)
1766951177.301619 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1766951177.301684 cmd_parse_build_commands: bind-key -n MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1766951177.301700 cmdq_get_command: [bind-key/0x13162bde0] group 1046
1766951177.301704 cmdq_append <global>: [bind-key/0x13162bde0]
1766951177.301708 yylex_token: end at WS
1766951177.301711 yylex_token: bind
1766951177.301715 yylex_token: end at WS
1766951177.301718 yylex_token: -n
1766951177.301723 yylex_token: end at WS
1766951177.301726 yylex_token: M-MouseDown3Status
1766951177.301731 yylex_token: end at WS
1766951177.301734 yylex_token: display-menu
1766951177.301737 yylex_token: end at WS
1766951177.301741 yylex_token: -t=
1766951177.301744 yylex_token: end at WS
1766951177.301748 yylex_token: -xW
1766951177.301751 yylex_token: end at WS
1766951177.301754 yylex_token: -yW
1766951177.301758 yylex_token: end at WS
1766951177.301761 yylex_token: -T
1766951177.301767 yylex_token: end at WS
1766951177.301770 yylex_token: #[align=centre]#{window_index}:#{window_name}
1766951177.301776 yylex_token: end at WS
1766951177.301780 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1766951177.301783 yylex_token: end at WS
1766951177.301786 yylex_token: l
1766951177.301790 yylex_token: end at WS
1766951177.301794 yylex_token: swap-window
1766951177.301797 yylex_token: end at }
1766951177.301801 yylex_token: -t:-1
1766951177.301807 yylex_token: end at WS
1766951177.301810 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1766951177.301814 yylex_token: end at WS
1766951177.301817 yylex_token: r
1766951177.301821 yylex_token: end at WS
1766951177.301824 yylex_token: swap-window
1766951177.301828 yylex_token: end at }
1766951177.301831 yylex_token: -t:+1
1766951177.301836 yylex_token: end at WS
1766951177.301840 yylex_token: #{?pane_marked_set,,-}Swap Marked
1766951177.301843 yylex_token: end at WS
1766951177.301847 yylex_token: s
1766951177.301850 yylex_token: end at }
1766951177.301854 yylex_token: swap-window
1766951177.301857 yylex_token: end at WS
1766951177.301861 yylex_token: 
1766951177.301864 yylex_token: end at WS
1766951177.301867 yylex_token: Kill
1766951177.301871 yylex_token: end at WS
1766951177.301874 yylex_token: X
1766951177.301878 yylex_token: end at }
1766951177.301881 yylex_token: kill-window
1766951177.301885 yylex_token: end at WS
1766951177.301888 yylex_token: Respawn
1766951177.301892 yylex_token: end at WS
1766951177.301895 yylex_token: R
1766951177.301899 yylex_token: end at WS
1766951177.301902 yylex_token: respawn-window
1766951177.301906 yylex_token: end at }
1766951177.301909 yylex_token: -k
1766951177.301914 yylex_token: end at WS
1766951177.301918 yylex_token: #{?pane_marked,Unmark,Mark}
1766951177.301922 yylex_token: end at WS
1766951177.301925 yylex_token: m
1766951177.301929 yylex_token: end at WS
1766951177.301932 yylex_token: select-pane
1766951177.301936 yylex_token: end at }
1766951177.301939 yylex_token: -m
1766951177.301943 yylex_token: end at WS
1766951177.301947 yylex_token: Rename
1766951177.301950 yylex_token: end at WS
1766951177.301953 yylex_token: n
1766951177.301957 yylex_token: end at WS
1766951177.301961 yylex_token: command-prompt
1766951177.301964 yylex_token: end at WS
1766951177.301967 yylex_token: -FI
1766951177.301971 yylex_token: end at WS
1766951177.301983 yylex_token: #W
1766951177.301988 yylex_token: end at WS
1766951177.301991 yylex_token: rename-window
1766951177.301995 yylex_token: end at WS
1766951177.301998 yylex_token: -t
1766951177.302002 yylex_token: end at WS
1766951177.302005 yylex_token: #{window_id}
1766951177.302009 yylex_token: end at WS
1766951177.302012 yylex_token: --
1766951177.302016 yylex_token: end at }
1766951177.302019 yylex_token: %%
1766951177.302023 yylex_token: end at WS
1766951177.302026 yylex_token: 
1766951177.302030 yylex_token: end at WS
1766951177.302033 yylex_token: New After
1766951177.302037 yylex_token: end at WS
1766951177.302040 yylex_token: w
1766951177.302044 yylex_token: end at WS
1766951177.302047 yylex_token: new-window
1766951177.302051 yylex_token: end at }
1766951177.302054 yylex_token: -a
1766951177.302058 yylex_token: end at WS
1766951177.302062 yylex_token: New At End
1766951177.302065 yylex_token: end at WS
1766951177.302068 yylex_token: W
1766951177.302072 yylex_token: end at }
1766951177.302076 yylex_token: new-window
1766951177.302081 cmd_parse_build_commands 0:0: bind
1766951177.302084 cmd_parse_build_commands 0:1: -n
1766951177.302088 cmd_parse_build_commands 0:2: M-MouseDown3Status
1766951177.302092 cmd_parse_build_commands 0:3 0:0: display-menu
1766951177.302096 cmd_parse_build_commands 0:3 0:1: -t=
1766951177.302099 cmd_parse_build_commands 0:3 0:2: -xW
1766951177.302103 cmd_parse_build_commands 0:3 0:3: -yW
1766951177.302106 cmd_parse_build_commands 0:3 0:4: -T
1766951177.302110 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1766951177.302114 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1766951177.302118 cmd_parse_build_commands 0:3 0:7: l
1766951177.302121 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1766951177.302125 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1766951177.302129 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1766951177.302132 cmd_parse_build_commands 0:3 0:10: r
1766951177.302136 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1766951177.302140 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1766951177.302144 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1766951177.302147 cmd_parse_build_commands 0:3 0:13: s
1766951177.302151 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1766951177.302155 cmd_parse_build_commands 0:3 0:15: 
1766951177.302158 cmd_parse_build_commands 0:3 0:16: Kill
1766951177.302161 cmd_parse_build_commands 0:3 0:17: X
1766951177.302165 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1766951177.302169 cmd_parse_build_commands 0:3 0:19: Respawn
1766951177.302172 cmd_parse_build_commands 0:3 0:20: R
1766951177.302176 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1766951177.302179 cmd_parse_build_commands 0:3 0:21 0:1: -k
1766951177.302183 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1766951177.302187 cmd_parse_build_commands 0:3 0:23: m
1766951177.302190 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1766951177.302194 cmd_parse_build_commands 0:3 0:24 0:1: -m
1766951177.302197 cmd_parse_build_commands 0:3 0:25: Rename
1766951177.302201 cmd_parse_build_commands 0:3 0:26: n
1766951177.302204 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1766951177.302208 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1766951177.302211 cmd_parse_build_commands 0:3 0:27 0:2: #W
1766951177.302215 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1766951177.302219 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1766951177.302223 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1766951177.302226 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1766951177.302230 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1766951177.302233 cmd_parse_build_commands 0:3 0:28: 
1766951177.302237 cmd_parse_build_commands 0:3 0:29: New After
1766951177.302240 cmd_parse_build_commands 0:3 0:30: w
1766951177.302244 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1766951177.302247 cmd_parse_build_commands 0:3 0:31 0:1: -a
1766951177.302255 cmd_parse_build_commands 0:3 0:32: New At End
1766951177.302258 cmd_parse_build_commands 0:3 0:33: W
1766951177.302262 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1766951177.302267 cmd_parse_build_commands 0:0: display-menu
1766951177.302270 cmd_parse_build_commands 0:1: -t=
1766951177.302274 cmd_parse_build_commands 0:2: -xW
1766951177.302277 cmd_parse_build_commands 0:3: -yW
1766951177.302280 cmd_parse_build_commands 0:4: -T
1766951177.302284 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1766951177.302288 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1766951177.302291 cmd_parse_build_commands 0:7: l
1766951177.302295 cmd_parse_build_commands 0:8 0:0: swap-window
1766951177.302299 cmd_parse_build_commands 0:8 0:1: -t:-1
1766951177.302302 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1766951177.302306 cmd_parse_build_commands 0:10: r
1766951177.302310 cmd_parse_build_commands 0:11 0:0: swap-window
1766951177.302313 cmd_parse_build_commands 0:11 0:1: -t:+1
1766951177.302317 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1766951177.302321 cmd_parse_build_commands 0:13: s
1766951177.302324 cmd_parse_build_commands 0:14 0:0: swap-window
1766951177.302328 cmd_parse_build_commands 0:15: 
1766951177.302331 cmd_parse_build_commands 0:16: Kill
1766951177.302335 cmd_parse_build_commands 0:17: X
1766951177.302338 cmd_parse_build_commands 0:18 0:0: kill-window
1766951177.302342 cmd_parse_build_commands 0:19: Respawn
1766951177.302345 cmd_parse_build_commands 0:20: R
1766951177.302349 cmd_parse_build_commands 0:21 0:0: respawn-window
1766951177.302353 cmd_parse_build_commands 0:21 0:1: -k
1766951177.302356 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1766951177.302360 cmd_parse_build_commands 0:23: m
1766951177.302363 cmd_parse_build_commands 0:24 0:0: select-pane
1766951177.302367 cmd_parse_build_commands 0:24 0:1: -m
1766951177.302370 cmd_parse_build_commands 0:25: Rename
1766951177.302374 cmd_parse_build_commands 0:26: n
1766951177.302377 cmd_parse_build_commands 0:27 0:0: command-prompt
1766951177.302381 cmd_parse_build_commands 0:27 0:1: -FI
1766951177.302384 cmd_parse_build_commands 0:27 0:2: #W
1766951177.302388 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1766951177.302392 cmd_parse_build_commands 0:27 0:3 0:1: -t
1766951177.302395 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1766951177.302399 cmd_parse_build_commands 0:27 0:3 0:3: --
1766951177.302402 cmd_parse_build_commands 0:27 0:3 0:4: %%
1766951177.302406 cmd_parse_build_commands 0:28: 
1766951177.302409 cmd_parse_build_commands 0:29: New After
1766951177.302413 cmd_parse_build_commands 0:30: w
1766951177.302416 cmd_parse_build_commands 0:31 0:0: new-window
1766951177.302420 cmd_parse_build_commands 0:31 0:1: -a
1766951177.302423 cmd_parse_build_commands 0:32: New At End
1766951177.302427 cmd_parse_build_commands 0:33: W
1766951177.302430 cmd_parse_build_commands 0:34 0:0: new-window
1766951177.302436 cmd_parse_build_commands 0:0: swap-window
1766951177.302440 cmd_parse_build_commands 0:1: -t:-1
1766951177.302445 args_parse_flags: next -t:-1
1766951177.302449 args_parse_flag_argument: -t = :-1
1766951177.302453 args_parse: flags end at 2 of 2
1766951177.302459 cmd_parse_build_commands: swap-window -t :-1
1766951177.302463 cmd_parse_build_commands 0:0: swap-window
1766951177.302467 cmd_parse_build_commands 0:1: -t:+1
1766951177.302471 args_parse_flags: next -t:+1
1766951177.302475 args_parse_flag_argument: -t = :+1
1766951177.302479 args_parse: flags end at 2 of 2
1766951177.302485 cmd_parse_build_commands: swap-window -t :+1
1766951177.302489 cmd_parse_build_commands 0:0: swap-window
1766951177.302494 args_parse: flags end at 1 of 1
1766951177.302499 cmd_parse_build_commands: swap-window
1766951177.302504 cmd_parse_build_commands 0:0: kill-window
1766951177.302508 args_parse: flags end at 1 of 1
1766951177.302512 cmd_parse_build_commands: kill-window
1766951177.302517 cmd_parse_build_commands 0:0: respawn-window
1766951177.302524 cmd_parse_build_commands 0:1: -k
1766951177.302529 args_parse_flags: next -k
1766951177.302533 args_parse_flags: -k
1766951177.302536 args_parse: flags end at 2 of 2
1766951177.302541 cmd_parse_build_commands: respawn-window -k
1766951177.302546 cmd_parse_build_commands 0:0: select-pane
1766951177.302549 cmd_parse_build_commands 0:1: -m
1766951177.302554 args_parse_flags: next -m
1766951177.302557 args_parse_flags: -m
1766951177.302561 args_parse: flags end at 2 of 2
1766951177.302566 cmd_parse_build_commands: select-pane -m
1766951177.302570 cmd_parse_build_commands 0:0: command-prompt
1766951177.302574 cmd_parse_build_commands 0:1: -FI
1766951177.302577 cmd_parse_build_commands 0:2: #W
1766951177.302581 cmd_parse_build_commands 0:3 0:0: rename-window
1766951177.302585 cmd_parse_build_commands 0:3 0:1: -t
1766951177.302588 cmd_parse_build_commands 0:3 0:2: #{window_id}
1766951177.302591 cmd_parse_build_commands 0:3 0:3: --
1766951177.302595 cmd_parse_build_commands 0:3 0:4: %%
1766951177.302600 cmd_parse_build_commands 0:0: rename-window
1766951177.302603 cmd_parse_build_commands 0:1: -t
1766951177.302607 cmd_parse_build_commands 0:2: #{window_id}
1766951177.302610 cmd_parse_build_commands 0:3: --
1766951177.302614 cmd_parse_build_commands 0:4: %%
1766951177.302619 args_parse_flags: next -t
1766951177.302623 args_parse_flag_argument: -t = #{window_id}
1766951177.302626 args_parse_flags: next --
1766951177.302630 args_parse: flags end at 4 of 5
1766951177.302633 args_parse: 4 = %% (type STRING)
1766951177.302641 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1766951177.302645 args_parse_flags: next -FI
1766951177.302648 args_parse_flags: -F
1766951177.302652 args_parse_flag_argument: -I = #W
1766951177.302656 args_parse: flags end at 3 of 4
1766951177.302663 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1766951177.302673 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1766951177.302678 cmd_parse_build_commands 0:0: new-window
1766951177.302681 cmd_parse_build_commands 0:1: -a
1766951177.302686 args_parse_flags: next -a
1766951177.302689 args_parse_flags: -a
1766951177.302693 args_parse: flags end at 2 of 2
1766951177.302698 cmd_parse_build_commands: new-window -a
1766951177.302702 cmd_parse_build_commands 0:0: new-window
1766951177.302706 args_parse: flags end at 1 of 1
1766951177.302711 cmd_parse_build_commands: new-window
1766951177.302715 args_parse_flags: next -t=
1766951177.302718 args_parse_flag_argument: -t = =
1766951177.302722 args_parse_flags: next -xW
1766951177.302725 args_parse_flag_argument: -x = W
1766951177.302729 args_parse_flags: next -yW
1766951177.302732 args_parse_flag_argument: -y = W
1766951177.302736 args_parse_flags: next -T
1766951177.302740 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1766951177.302744 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1766951177.302747 args_parse: flags end at 6 of 35
1766951177.302751 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1766951177.302755 args_parse: 7 = l (type STRING)
1766951177.302761 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1766951177.302765 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1766951177.302769 args_parse: 10 = r (type STRING)
1766951177.302774 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1766951177.302778 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1766951177.302782 args_parse: 13 = s (type STRING)
1766951177.302787 args_parse: 14 = swap-window (type COMMANDS)
1766951177.302791 args_parse: 15 =  (type STRING)
1766951177.302795 args_parse: 16 = Kill (type STRING)
1766951177.302798 args_parse: 17 = X (type STRING)
1766951177.302803 args_parse: 18 = kill-window (type COMMANDS)
1766951177.302806 args_parse: 19 = Respawn (type STRING)
1766951177.302810 args_parse: 20 = R (type STRING)
1766951177.302815 args_parse: 21 = respawn-window -k (type COMMANDS)
1766951177.302819 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1766951177.302827 args_parse: 23 = m (type STRING)
1766951177.302832 args_parse: 24 = select-pane -m (type COMMANDS)
1766951177.302836 args_parse: 25 = Rename (type STRING)
1766951177.302840 args_parse: 26 = n (type STRING)
1766951177.302849 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1766951177.302853 args_parse: 28 =  (type STRING)
1766951177.302857 args_parse: 29 = New After (type STRING)
1766951177.302861 args_parse: 30 = w (type STRING)
1766951177.302865 args_parse: 31 = new-window -a (type COMMANDS)
1766951177.302869 args_parse: 32 = New At End (type STRING)
1766951177.302873 args_parse: 33 = W (type STRING)
1766951177.302877 args_parse: 34 = new-window (type COMMANDS)
1766951177.302931 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1766951177.302935 args_parse_flags: next -n
1766951177.302939 args_parse_flags: -n
1766951177.302942 args_parse_flags: next M-MouseDown3Status
1766951177.302946 args_parse: flags end at 2 of 4
1766951177.302949 args_parse: 2 = M-MouseDown3Status (type STRING)
1766951177.302998 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1766951177.303052 cmd_parse_build_commands: bind-key -n M-MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1766951177.303068 cmdq_get_command: [bind-key/0x13162ebf0] group 1094
1766951177.303072 cmdq_append <global>: [bind-key/0x13162ebf0]
1766951177.303076 yylex_token: end at WS
1766951177.303080 yylex_token: bind
1766951177.303083 yylex_token: end at WS
1766951177.303086 yylex_token: -n
1766951177.303091 yylex_token: end at WS
1766951177.303094 yylex_token: MouseDown3Pane
1766951177.303098 yylex_token: end at WS
1766951177.303101 yylex_token: if
1766951177.303104 yylex_token: end at WS
1766951177.303108 yylex_token: -Ft=
1766951177.303116 yylex_token: end at WS
1766951177.303120 yylex_token: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1766951177.303124 yylex_token: end at WS
1766951177.303127 yylex_token: select-pane
1766951177.303131 yylex_token: end at ;
1766951177.303134 yylex_token: -t=
1766951177.303138 yylex_token: end at WS
1766951177.303141 yylex_token: send
1766951177.303145 yylex_token: end at WS
1766951177.303148 yylex_token: -M
1766951177.303152 yylex_token: end at WS
1766951177.303156 yylex_token: display-menu
1766951177.303159 yylex_token: end at WS
1766951177.303163 yylex_token: -t=
1766951177.303166 yylex_token: end at WS
1766951177.303169 yylex_token: -xM
1766951177.303173 yylex_token: end at WS
1766951177.303176 yylex_token: -yM
1766951177.303180 yylex_token: end at WS
1766951177.303194 yylex_token: -T
1766951177.303200 yylex_token: end at WS
1766951177.303204 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1766951177.303210 yylex_token: end at WS
1766951177.303214 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1766951177.303217 yylex_token: end at WS
1766951177.303220 yylex_token: <
1766951177.303224 yylex_token: end at WS
1766951177.303227 yylex_token: send
1766951177.303231 yylex_token: end at WS
1766951177.303234 yylex_token: -X
1766951177.303238 yylex_token: end at }
1766951177.303241 yylex_token: history-top
1766951177.303248 yylex_token: end at WS
